"posicao","time","pontos","J","V","E","D","GP","GC","SG","CA","CV","aproveitamento"
"1","Cuiabá - MT","21","10","6","3","1","14","7","7","22","3","70"
"2","Paraná - PR","20","10","6","2","2","13","7","6","24","0","66"
"3","Ponte Preta - SP","18","10","5","3","2","15","11","4","20","1","60"
"4","Chapecoense - SC","17","8","5","2","1","8","3","5","26","1","70"
"5","America - MG","17","10","5","2","3","9","7","2","19","1","56"
"6","Operário - PR","16","10","4","4","2","12","8","4","23","0","53"
"7","Juventude - RS","16","10","4","4","2","14","11","3","25","0","53"
"8","Vitória - BA","14","10","3","5","2","12","10","2","27","2","46"
"9","Náutico - PE","14","10","3","5","2","13","12","1","28","1","46"
"10","Crb - AL","13","9","3","4","2","11","10","1","21","0","48"
"11","Confiança - SE","11","10","2","5","3","9","12","-3","30","1","36"
"12","Avaí - SC","10","10","3","1","6","11","14","-3","26","1","33"
"13","Brasil - RS","10","8","2","4","2","6","6","0","21","0","41"
"14","Figueirense - SC","9","9","2","3","4","3","6","-3","30","2","33"
"15","Cruzeiro - MG","8","10","4","2","4","11","12","-1","16","0","26"
"16","Botafogo - SP","8","9","2","2","5","6","9","-3","26","1","29"
"17","Guarani - SP","8","10","2","2","6","8","13","-5","24","2","26"
"18","Sampaio Correa - MA","7","8","2","1","5","9","10","-1","13","0","29"
"19","Csa - AL","7","9","2","1","6","9","15","-6","32","2","25"
"20","Oeste - SP","6","10","1","3","6","7","17","-10","23","0","20"
